product_name,category,quantity_sold,unit_price,date_of_sale
Robot Vacuum Cleaner,Home & Kitchen,8,35.0,2026-04-13
Running Sports Shoes,Clothing,7,89.0,2026-03-16
Atomic Habits,Books,4,118.0,2026-01-24
Stainless Steel Water Bottle,Home & Kitchen,2,102.0,2026-04-18
Slim Fit Denim Jeans,Clothing,5,72.0,2026-01-22
Smart Watch v4,Electronics,9,63.0,2026-04-01
Electric Coffee Grinder,Home & Kitchen,3,122.0,2026-02-24
Python Programming Masterclass,Books,3,65.0,2026-01-07
Smartphone iPhone 15,Electronics,7,32.0,2026-01-04
Smart Watch v4,Electronics,2,23.0,2026-03-31
Laptop ASUS ROG,Electronics,4,106.0,2026-04-21
The Lean Startup,Books,8,49.0,2026-03-19
Smart Watch v4,Electronics,2,118.0,2026-01-04
Slim Fit Denim Jeans,Clothing,4,68.0,2026-04-03
Electric Coffee Grinder,Home & Kitchen,2,28.0,2026-04-05
The Lean Startup,Books,9,54.0,2026-03-26
Atomic Habits,Books,2,125.0,2026-02-22
Data Science from Scratch,Books,9,138.0,2026-04-19
Bluetooth Speaker,Electronics,1,103.0,2026-03-12
Smartphone iPhone 15,Electronics,8,77.0,2026-01-11
Air Fryer 4L,Home & Kitchen,8,47.0,2026-01-05
Slim Fit Denim Jeans,Clothing,9,42.0,2026-01-07
Smart Watch v4,Electronics,2,47.0,2026-02-17
Stainless Steel Water Bottle,Home & Kitchen,3,118.0,2026-03-27
Ergonomic Office Chair,Home & Kitchen,1,115.0,2026-02-16
Running Sports Shoes,Clothing,1,19.0,2026-03-31
Ergonomic Office Chair,Home & Kitchen,9,29.0,2026-03-31
Cotton T-Shirt,Clothing,3,77.0,2026-04-06
Air Fryer 4L,Home & Kitchen,4,110.0,2026-01-04
Summer Dress,Clothing,7,43.0,2026-02-05
Wireless Earbuds,Electronics,3,100.0,2026-01-28
Slim Fit Denim Jeans,Clothing,9,148.0,2026-01-28
The Lean Startup,Books,4,44.0,2026-03-03
Electric Coffee Grinder,Home & Kitchen,7,106.0,2026-03-30
Air Fryer 4L,Home & Kitchen,1,135.0,2026-01-27
Unisex Oversized Hoodie,Clothing,4,17.0,2026-04-13
Running Sports Shoes,Clothing,9,76.0,2026-02-06
Wireless Earbuds,Electronics,8,73.0,2026-04-28
Python Programming Masterclass,Books,4,127.0,2026-03-03
Laptop ASUS ROG,Electronics,4,26.0,2026-02-08
Running Sports Shoes,Clothing,1,115.0,2026-04-23
Python Programming Masterclass,Books,1,16.0,2026-01-02
Atomic Habits,Books,1,143.0,2026-01-19
Slim Fit Denim Jeans,Clothing,5,82.0,2026-02-24
Ergonomic Office Chair,Home & Kitchen,1,52.0,2026-01-24
Smart Watch v4,Electronics,2,111.0,2026-03-14
Introduction to Algorithms,Books,6,107.0,2026-01-03
The Lean Startup,Books,4,104.0,2026-03-08
Ergonomic Office Chair,Home & Kitchen,4,110.0,2026-03-12
Python Programming Masterclass,Books,1,142.0,2026-02-08
Unisex Oversized Hoodie,Clothing,9,56.0,2026-04-09
Robot Vacuum Cleaner,Home & Kitchen,9,74.0,2026-04-23
Unisex Oversized Hoodie,Clothing,5,51.0,2026-02-01
Air Fryer 4L,Home & Kitchen,9,113.0,2026-01-19
Introduction to Algorithms,Books,4,68.0,2026-04-30
Smart Watch v4,Electronics,1,118.0,2026-03-25
Running Sports Shoes,Clothing,9,113.0,2026-01-25
Laptop ASUS ROG,Electronics,2,68.0,2026-02-04
Atomic Habits,Books,9,82.0,2026-02-02
Summer Dress,Clothing,4,142.0,2026-01-08
